
0.000021,0.000054,0.000012|6532685.500000,1557932.250000,0.000000|6752768.500000,1517302.000000,0.000000|-6752769.500000,-1517303.250000,0.000000|1517302.000000,6752768.500000,0.000000|-1517303.125000,-6752769.500000,0.000000|-79373151502336.000000,-126996965228544.000000,-15874620653568.000000|-48181056372736.000000,-197104152608768.000000,-56940885442560.000000|
0.000022,0.000056,0.000013|6521659.000000,1602877.000000,0.000000|6742383.500000,1561149.125000,0.000000|-6742384.500000,-1561150.500000,0.000000|1561149.125000,6742383.500000,0.000000|-1561150.375000,-6742384.500000,0.000000|-81707625611264.000000,-130732127158272.000000,-16341515894784.000000|-49598135533568.000000,-202901284716544.000000,-58615591337984.000000|
0.000023,0.000057,0.000013|6510323.500000,1647745.750000,0.000000|6731706.500000,1604928.625000,0.000000|-6731707.500000,-1604930.125000,0.000000|1604928.625000,6731706.500000,0.000000|-1604930.000000,-6731707.500000,0.000000|-84042099720192.000000,-134467289088000.000000,-16808411136000.000000|-51015214694400.000000,-208698416824320.000000,-60290297233408.000000|
0.000023,0.000059,0.000013|6498679.500000,1692536.500000,0.000000|6720738.000000,1648638.625000,0.000000|-6720739.000000,-1648640.250000,0.000000|1648638.625000,6720738.000000,0.000000|-1648640.125000,-6720739.000000,0.000000|-86376573829120.000000,-138202442629120.000000,-17275305328640.000000|-52432293855232.000000,-214495532154880.000000,-61965003128832.000000|
0.000024,0.000061,0.000014|6486727.500000,1737247.000000,0.000000|6709478.500000,1692277.250000,0.000000|-6709479.500000,-1692278.875000,0.000000|1692277.250000,6709478.500000,0.000000|-1692278.750000,-6709479.500000,0.000000|-88711047938048.000000,-141937596170240.000000,-17742199521280.000000|-53849368821760.000000,-220292647485440.000000,-63639704829952.000000|
0.000024,0.000062,0.000014|6474468.500000,1781875.125000,0.000000|6697928.500000,1735842.500000,0.000000|-6697929.500000,-1735844.250000,0.000000|1735842.500000,6697928.500000,0.000000|-1735844.125000,-6697929.500000,0.000000|-91045522046976.000000,-145672741322752.000000,-18209092665344.000000|-55266443788288.000000,-226089762816000.000000,-65314406531072.000000|
0.000025,0.000064,0.000014|6461902.500000,1826418.750000,0.000000|6686088.000000,1779332.500000,0.000000|-6686089.500000,-1779334.375000,0.000000|1779332.500000,6686088.000000,0.000000|-1779334.250000,-6686089.500000,0.000000|-93379996155904.000000,-149407886475264.000000,-18675985809408.000000|-56683518754816.000000,-231886878146560.000000,-66989108232192.000000|
0.000026,0.000065,0.000015|6449030.000000,1870875.875000,0.000000|6673958.000000,1822745.375000,0.000000|-6673959.500000,-1822747.375000,0.000000|1822745.375000,6673958.000000,0.000000|-1822747.250000,-6673959.500000,0.000000|-95714461876224.000000,-153143031627776.000000,-19142878953472.000000|-58100593721344.000000,-237683993477120.000000,-68663805739008.000000|
0.000026,0.000067,0.000015|6435852.000000,1915244.250000,0.000000|6661538.500000,1866079.250000,0.000000|-6661540.500000,-1866081.375000,0.000000|1866079.250000,6661538.500000,0.000000|-1866081.250000,-6661540.500000,0.000000|-98048927596544.000000,-156878176780288.000000,-19609772097536.000000|-59517668687872.000000,-243481108807680.000000,-70338503245824.000000|
0.000027,0.000069,0.000015|6422369.000000,1959521.875000,0.000000|6648830.500000,1909332.250000,0.000000|-6648832.500000,-1909334.500000,0.000000|1909332.250000,6648830.500000,0.000000|-1909334.375000,-6648832.500000,0.000000|-100383393316864.000000,-160613321932800.000000,-20076665241600.000000|-60934743654400.000000,-249278224138240.000000,-72013196558336.000000|
0.000028,0.000070,0.000016|6408581.500000,2003706.500000,0.000000|6635834.000000,1952502.500000,0.000000|-6635836.500000,-1952504.875000,0.000000|1952502.500000,6635834.000000,0.000000|-1952504.750000,-6635836.500000,0.000000|-102717859037184.000000,-164348450308096.000000,-20543556288512.000000|-62351818620928.000000,-255075322691584.000000,-73687889870848.000000|
0.000028,0.000072,0.000016|6394490.000000,2047796.125000,0.000000|6622550.000000,1995588.000000,0.000000|-6622552.500000,-1995590.500000,0.000000|1995588.000000,6622550.000000,0.000000|-1995590.375000,-6622552.500000,0.000000|-105052324757504.000000,-168083578683392.000000,-21010447335424.000000|-63768889393152.000000,-260872421244928.000000,-75362583183360.000000|
0.000029,0.000073,0.000016|6380095.500000,2091788.625000,0.000000|6608978.500000,2038587.000000,0.000000|-6608981.500000,-2038589.625000,0.000000|2038587.000000,6608978.500000,0.000000|-2038589.500000,-6608981.500000,0.000000|-107386790477824.000000,-171818707058688.000000,-21477338382336.000000|-65185960165376.000000,-266669519798272.000000,-77037276495872.000000|
0.000030,0.000075,0.000017|6365398.500000,2135682.000000,0.000000|6595120.500000,2081497.500000,0.000000|-6595123.500000,-2081500.250000,0.000000|2081497.500000,6595120.500000,0.000000|-2081500.125000,-6595123.500000,0.000000|-109721247809536.000000,-175553835433984.000000,-21944229429248.000000|-66603030937600.000000,-272466618351616.000000,-78711961419776.000000|
0.000030,0.000077,0.000017|6350399.500000,2179474.000000,0.000000|6580976.500000,2124317.500000,0.000000|-6580979.500000,-2124320.500000,0.000000|2124317.500000,6580976.500000,0.000000|-2124320.250000,-6580979.500000,0.000000|-112055705141248.000000,-179288963809280.000000,-22411120476160.000000|-68020101709824.000000,-278263716904960.000000,-80386646343680.000000|
0.000031,0.000078,0.000018|6335099.500000,2223162.750000,0.000000|6566546.500000,2167045.500000,0.000000|-6566550.000000,-2167048.500000,0.000000|2167045.500000,6566546.500000,0.000000|-2167048.250000,-6566550.000000,0.000000|-114390162472960.000000,-183024092184576.000000,-22878011523072.000000|-69437172482048.000000,-284060815458304.000000,-82061331267584.000000|
0.000031,0.000080,0.000018|6319499.000000,2266746.000000,0.000000|6551831.500000,2209679.250000,0.000000|-6551835.000000,-2209682.500000,0.000000|2209679.250000,6551831.500000,0.000000|-2209682.250000,-6551835.000000,0.000000|-116724619804672.000000,-186759220559872.000000,-23344902569984.000000|-70854243254272.000000,-289857880457216.000000,-83736016191488.000000|
0.000032,0.000081,0.000018|6303599.000000,2310221.750000,0.000000|6536832.000000,2252217.000000,0.000000|-6536836.000000,-2252220.500000,0.000000|2252217.000000,6536832.000000,0.000000|-2252220.250000,-6536836.000000,0.000000|-119059077136384.000000,-190494348935168.000000,-23811793616896.000000|-72271314026496.000000,-295654945456128.000000,-85410701115392.000000|
0.000033,0.000083,0.000019|6287400.000000,2353587.750000,0.000000|6521549.000000,2294657.000000,0.000000|-6521553.000000,-2294660.750000,0.000000|2294657.000000,6521549.000000,0.000000|-2294660.500000,-6521553.000000,0.000000|-121393534468096.000000,-194229460533248.000000,-24278682566656.000000|-73688376410112.000000,-301452010455040.000000,-87085386039296.000000|
0.000033,0.000085,0.000019|6270902.500000,2396842.250000,0.000000|6505982.500000,2336997.250000,0.000000|-6505986.500000,-2337001.250000,0.000000|2336997.250000,6505982.500000,0.000000|-2337001.000000,-6505986.500000,0.000000|-123727991799808.000000,-197964572131328.000000,-24745571516416.000000|-75105438793728.000000,-307249075453952.000000,-88760062574592.000000|
0.000034,0.000086,0.000019|6254107.500000,2439983.000000,0.000000|6490133.500000,2379236.000000,0.000000|-6490137.500000,-2379240.250000,0.000000|2379236.000000,6490133.500000,0.000000|-2379240.000000,-6490137.500000,0.000000|-126062440742912.000000,-201699683729408.000000,-25212460466176.000000|-76522501177344.000000,-313046140452864.000000,-90434739109888.000000|
0.000035,0.000088,0.000020|6237016.000000,2483008.000000,0.000000|6474002.500000,2421371.500000,0.000000|-6474006.500000,-2421375.750000,0.000000|2421371.500000,6474002.500000,0.000000|-2421375.500000,-6474006.500000,0.000000|-128396889686016.000000,-205434795327488.000000,-25679349415936.000000|-77939563560960.000000,-318843205451776.000000,-92109415645184.000000|
0.000035,0.000089,0.000020|6219628.500000,2525915.250000,0.000000|6457590.000000,2463401.750000,0.000000|-6457594.000000,-2463406.000000,0.000000|2463401.750000,6457590.000000,0.000000|-2463405.750000,-6457594.000000,0.000000|-130731338629120.000000,-209169906925568.000000,-26146238365696.000000|-79356625944576.000000,-324640270450688.000000,-93784092180480.000000|
